target_id,family,family_short,tier_id,tier_label,tier_name,category,contract_source,public_source,private_source,declared_in_public_contract,used_in_public_examples,used_in_private_scenarios,private_seen_in_public_examples,private_only_but_declared,private_undeclared,private_coverage_pct
clinic_shift_command,Clinical Command,Clinical,tier_b,Tier B,Operational,Rendered tables,local,local,local,6,5,5,4,1,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_b,Tier B,Operational,Events,local,local,local,0,0,0,0,0,0,
clinic_shift_command,Clinical Command,Clinical,tier_c,Tier C,Regulated,Actions,local,local,local,50,33,45,32,13,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_c,Tier C,Regulated,State / observation paths,local,local,local,92,46,56,32,24,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_c,Tier C,Regulated,Routes/pages,local,local,local,5,1,4,0,4,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_c,Tier C,Regulated,Rendered tables,local,local,local,12,10,8,6,2,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_c,Tier C,Regulated,Events,local,local,local,0,0,0,0,0,0,
clinic_shift_command,Clinical Command,Clinical,tier_d,Tier D,Release stage,Actions,local,local,local,51,33,46,32,14,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_d,Tier D,Release stage,State / observation paths,local,local,local,97,49,60,35,25,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_d,Tier D,Release stage,Routes/pages,local,local,local,5,1,4,0,4,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_d,Tier D,Release stage,Rendered tables,local,local,local,13,11,9,7,2,0,100.0
clinic_shift_command,Clinical Command,Clinical,tier_d,Tier D,Release stage,Events,local,local,local,0,0,0,0,0,0,
campus_registrar_command,Campus Registrar,Campus,tier_a,Tier A,Consumer,Actions,local,local,local,23,20,19,16,3,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_a,Tier A,Consumer,State / observation paths,local,local,local,27,17,12,11,1,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_a,Tier A,Consumer,Routes/pages,local,local,local,3,0,0,0,0,0,
campus_registrar_command,Campus Registrar,Campus,tier_a,Tier A,Consumer,Rendered tables,local,local,local,3,3,2,2,0,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_a,Tier A,Consumer,Events,local,local,local,0,0,0,0,0,0,
campus_registrar_command,Campus Registrar,Campus,tier_c,Tier C,Regulated,Actions,local,local,local,29,26,27,26,1,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_c,Tier C,Regulated,State / observation paths,local,local,local,64,45,38,34,4,0,100.0
campus_registrar_command,Campus Registrar,Campus,tier_c,Tier C,Regulated,Routes/pages,local,local,local,5,2,3,2,1,0,100.0
