source_figure,source_panel,source_file,grain,plot_role,row_order,metric_order,metric,metric_label,value,value_pct,ci95_low_pct,ci95_high_pct,ci95_halfwidth_pct,full_pass,denominator,count_label,n_points,runs,suite,suite_label,family,family_label,tier,tier_label,model_tier,model_group,model,model_label,model_order,input_source,denominator_policy,data_scope,notes
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot_and_gap_endpoint,4,3,stepwise_mean,Step-level progress,0.5248333333333334,52.483333333333334,,,,,360.0,,,360.0,,,Campus Registrar,Campus Reg.,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,5,1,full_pass_rate,Full pass,0.2388888888888889,23.88888888888889,,,,86.0,360.0,86/360 (23.9%),,360.0,,,Media Campaign,Media Camp.,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,5,2,formal_mean,Scenario-level conformance,0.45187499999999997,45.1875,,,,,360.0,,,360.0,,,Media Campaign,Media Camp.,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot_and_gap_endpoint,5,3,stepwise_mean,Step-level progress,0.5403083333333333,54.03083333333333,,,,,360.0,,,360.0,,,Media Campaign,Media Camp.,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,6,1,full_pass_rate,Full pass,0.05277777777777778,5.277777777777778,,,,19.0,360.0,19/360 (5.3%),,360.0,,,Home Services,Home Services,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot,6,2,formal_mean,Scenario-level conformance,0.33824999999999994,33.824999999999996,,,,,360.0,,,360.0,,,Home Services,Home Services,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family,dot_and_gap_endpoint,6,3,stepwise_mean,Step-level progress,0.48525,48.525,,,,,360.0,,,360.0,,,Home Services,Home Services,,,,,,,,,planned denominator; missing planned runs counted as failures,,Scenario and step metrics are run-weighted. Full pass uses planned denominators.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.22631578947368422,22.63157894736842,,,,43.0,190.0,43/190 (22.6%),,187.0,,,,Overall,,,F,Frontier,gpt54,GPT-5.4,6.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.32105263157894737,32.10526315789474,,,,61.0,190.0,61/190 (32.1%),,189.0,,,,Overall,,,F,Frontier,claude_opus46,Claude Opus 4.6,7.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.2578947368421053,25.789473684210527,,,,49.0,190.0,49/190 (25.8%),,188.0,,,,Overall,,,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,8.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.6744767588202649,67.44767588202649,,,,,187.0,,,187.0,,,,Overall,,,F,Frontier,gpt54,GPT-5.4,6.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.7216051897534819,72.16051897534818,,,,,189.0,,,189.0,,,,Overall,,,F,Frontier,claude_opus46,Claude Opus 4.6,7.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.6458127077116474,64.58127077116474,,,,,188.0,,,188.0,,,,Overall,,,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,8.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.7928694344449503,79.28694344449502,,,,,187.0,,,187.0,,,,Overall,,,F,Frontier,gpt54,GPT-5.4,6.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.8296896343139425,82.96896343139424,,,,,189.0,,,189.0,,,,Overall,,,F,Frontier,claude_opus46,Claude Opus 4.6,7.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,3,stepwise_mean,Step-level progress,0.7696316609528425,76.96316609528425,,,,,188.0,,,188.0,,,,Overall,,,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,8.0,"evaluation_report, raw_runs.csv, tier_readme",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.011764705882352941,1.1764705882352942,,,,2.0,170.0,2/170 (1.2%),,170.0,,,,Overall,,,M,Mini,gpt54_nano,GPT-5.4 nano,0.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.0058823529411764705,0.5882352941176471,,,,1.0,170.0,1/170 (0.6%),,169.0,,,,Overall,,,M,Mini,claude_haiku45,Claude Haiku 4.5,1.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,1,full_pass_rate,Full pass,0.0,0.0,,,,0.0,170.0,0/170 (0.0%),,170.0,,,,Overall,,,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,2.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.17180782374274445,17.180782374274443,,,,,170.0,,,170.0,,,,Overall,,,M,Mini,gpt54_nano,GPT-5.4 nano,0.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.1452870413062694,14.52870413062694,,,,,169.0,,,169.0,,,,Overall,,,M,Mini,claude_haiku45,Claude Haiku 4.5,1.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
figure_conformance_gap_only,family conformance gap,figures/main/figure_conformance_gap_only.pdf,overall_or_family_model,model_specific_table_value,0,2,formal_mean,Scenario-level conformance,0.013119035619143618,1.3119035619143617,,,,,170.0,,,170.0,,,,Overall,,,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,2.0,"evaluation_report, raw_runs.csv",planned denominator per family-tier-model is at least 10,available per-model rollups from raw traces and explicit per-model reports,Per-model rollup file is narrower than the all-family model-tier aggregate; use data_scope before comparing totals.
