suite,family,tier,tier_name,model_tier,model_group,model_id,model,runs,full_pass,formal_mean,stepwise_mean,source
freshcart_market,Grocery,A,Consumer,F,Frontier,gpt54,GPT-5.4,10,5,0.6953488372093023,0.7268126780310433,raw_current
freshcart_market,Grocery,A,Consumer,F,Frontier,claude_opus46,Claude Opus 4.6,10,3,0.7930232558139535,0.8171968241137189,raw_current
freshcart_market,Grocery,A,Consumer,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,0,0.7151162790697675,0.7801849918966881,raw_current
freshcart_market,Grocery,B,Operational,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.0936936936936937,0.21400047775047773,raw_current
freshcart_market,Grocery,B,Operational,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.07837837837837838,0.24138523263523265,raw_current
freshcart_market,Grocery,B,Operational,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.0870982995982996,raw_current
freshcart_market,Grocery,B,Operational,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.0,0.0870982995982996,raw_current
freshcart_market,Grocery,B,Operational,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,0,0.16756756756756755,0.4005211380211381,raw_current
freshcart_market,Grocery,B,Operational,T,Turbo,gemini_flash_latest,Gemini 3.1 Flash,10,0,0.06846846846846845,0.23831324831324832,raw_current
freshcart_market,Grocery,B,Operational,F,Frontier,gpt54,GPT-5.4,10,1,0.4477477477477477,0.6603351565851565,raw_current
freshcart_market,Grocery,B,Operational,F,Frontier,claude_opus46,Claude Opus 4.6,10,1,0.6963963963963964,0.9295130357630356,raw_current
freshcart_market,Grocery,B,Operational,F,Frontier,gemini31_pro_preview,Gemini 3.1 Pro Preview,10,1,0.18378378378378377,0.2688801138801139,raw_current
freshcart_market,Grocery,C,Regulated,M,Mini,gpt54_nano,GPT-5.4 nano,10,0,0.08317757009345793,0.16691856886265521,raw_current
freshcart_market,Grocery,C,Regulated,M,Mini,claude_haiku45,Claude Haiku 4.5,10,0,0.08691588785046726,0.27229504230148766,raw_current
freshcart_market,Grocery,C,Regulated,M,Mini,gemini31_flash_lite,Gemini 3.1 Flash Lite,10,0,0.0,0.11356391451138466,raw_current
freshcart_market,Grocery,C,Regulated,T,Turbo,gpt54_mini,GPT-5.4 mini,10,0,0.030841121495327094,0.2270244143366927,raw_current
freshcart_market,Grocery,C,Regulated,T,Turbo,claude_sonnet46,Claude Sonnet 4.6,10,0,0.1644859813084112,0.40033283721327545,raw_current
