suite,suite_label,tier,model,model_label,model_tier,model_tier_label,runs,formal_mean,stepwise_mean,full_pass,full_total,full_pass_rate,report_view,source
campus_registrar_command,Campus Registrar Command,D,gpt54,GPT-5.4,F,Frontier,10.0,0.705,0.8270000000000001,1.0,10.0,0.1,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,D,gpt54_mini,GPT-5.4 mini,T,Mid-range,10.0,0.0,0.046,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,D,gpt54_nano,GPT-5.4 nano,M,Small,10.0,0.149,0.233,0.0,10.0,0.0,paper_main_reported,evaluation_report
campus_registrar_command,Campus Registrar Command,D,group_aggregate,**Group aggregate**,F,Frontier,30.0,0.11900000000000001,0.20199999999999999,0.0,30.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,claude_haiku45,Claude Haiku 4.5,M,Small,10.0,0.217,0.423,0.0,10.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,claude_opus46,Claude Opus 4.6,F,Frontier,10.0,1.0,1.0,10.0,10.0,1.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,claude_sonnet46,Claude Sonnet 4.6,T,Mid-range,10.0,0.679,0.752,5.0,10.0,0.5,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,gemini31_flash_lite,Gemini 3.1 Flash Lite,M,Small,10.0,0.033,0.172,0.0,10.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,gemini31_pro_preview,Gemini 3.1 Pro Preview,F,Frontier,10.0,0.875,0.94,7.0,10.0,0.7,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,gemini_flash_latest,Gemini 3.1 Flash,T,Mid-range,10.0,0.6990000000000001,0.731,6.0,10.0,0.6,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,gpt54,GPT-5.4,F,Frontier,10.0,0.998,1.0,9.0,10.0,0.9,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,gpt54_mini,GPT-5.4 mini,T,Mid-range,10.0,0.098,0.162,0.0,10.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,A,gpt54_nano,GPT-5.4 nano,M,Small,10.0,0.268,0.386,0.0,10.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,claude_haiku45,Claude Haiku 4.5,M,Small,10.0,0.043,0.18100000000000002,0.0,10.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,claude_opus46,Claude Opus 4.6,F,Frontier,10.0,0.991,0.9990000000000001,9.0,10.0,0.9,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,claude_sonnet46,Claude Sonnet 4.6,T,Mid-range,10.0,0.898,0.9209999999999999,8.0,10.0,0.8,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,gemini31_flash_lite,Gemini 3.1 Flash Lite,M,Small,10.0,0.0,0.11699999999999999,0.0,10.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,gemini31_pro_preview,Gemini 3.1 Pro Preview,F,Frontier,10.0,0.759,0.807,7.0,10.0,0.7,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,gemini_flash_latest,Gemini 3.1 Flash,T,Mid-range,10.0,0.376,0.501,2.0,10.0,0.2,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,gpt54,GPT-5.4,F,Frontier,10.0,0.85,0.938,2.0,10.0,0.2,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,gpt54_mini,GPT-5.4 mini,T,Mid-range,10.0,0.0,0.079,0.0,10.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,B,gpt54_nano,GPT-5.4 nano,M,Small,10.0,0.172,0.341,0.0,10.0,0.0,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,claude_haiku45,Claude Haiku 4.5,M,Small,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,claude_opus46,Claude Opus 4.6,F,Frontier,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,claude_sonnet46,Claude Sonnet 4.6,T,Mid-range,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,gemini31_flash_lite,Gemini 3.1 Flash Lite,M,Small,,,,,,,paper_main_reported,evaluation_report
media_campaign_launch_desk,Media Campaign Launch Desk,C,gemini31_pro_preview,Gemini 3.1 Pro Preview,F,Frontier,,,,,,,paper_main_reported,evaluation_report
