suite,suite_label,tier,runs,formal_mean,stepwise_mean,full_pass,full_total,full_pass_rate,report_view,model_tier,model_tier_label
media_campaign_launch_desk,Media Campaign Launch Desk,A,30,0.492,0.5479999999999999,11,30,0.36666666666666664,paper_main_reported,T,Turbo
media_campaign_launch_desk,Media Campaign Launch Desk,A,30,0.958,0.98,26,30,0.8666666666666667,paper_main_reported,F,Frontier
media_campaign_launch_desk,Media Campaign Launch Desk,B,30,0.072,0.213,0,30,0.0,paper_main_reported,M,Mini
media_campaign_launch_desk,Media Campaign Launch Desk,B,30,0.425,0.5,10,30,0.3333333333333333,paper_main_reported,T,Turbo
media_campaign_launch_desk,Media Campaign Launch Desk,B,30,0.867,0.915,18,30,0.6,paper_main_reported,F,Frontier
media_campaign_launch_desk,Media Campaign Launch Desk,C,30,0.2727619047619047,0.397848285981059,3,30,0.1,paper_main_reported,M,Mini
media_campaign_launch_desk,Media Campaign Launch Desk,C,30,0.3790476190476191,0.4850624560935485,2,30,0.06666666666666667,paper_main_reported,T,Turbo
media_campaign_launch_desk,Media Campaign Launch Desk,C,30,0.8944761904761904,0.9410330621137344,15,30,0.5,paper_main_reported,F,Frontier
media_campaign_launch_desk,Media Campaign Launch Desk,D,30,0.1232804232804232,0.2607956647795766,0,30,0.0,paper_main_reported,M,Mini
media_campaign_launch_desk,Media Campaign Launch Desk,D,30,0.2675485008818342,0.3617463501040306,0,30,0.0,paper_main_reported,T,Turbo
media_campaign_launch_desk,Media Campaign Launch Desk,D,30,0.5656084656084656,0.6777123968978724,0,30,0.0,paper_main_reported,F,Frontier
homefix_hub,HomeFix Hub,A,30,0.2713178294573642,0.4534140966699106,0,30,0.0,paper_main_reported,M,Mini
homefix_hub,HomeFix Hub,A,30,0.2705426356589147,0.4081946611743123,4,30,0.13333333333333333,paper_main_reported,T,Turbo
homefix_hub,HomeFix Hub,A,30,0.6034883720930233,0.7926696365649855,7,30,0.23333333333333334,paper_main_reported,F,Frontier
homefix_hub,HomeFix Hub,B,30,0.1270833333333333,0.2618777217326324,0,30,0.0,paper_main_reported,M,Mini
homefix_hub,HomeFix Hub,B,30,0.3074404761904762,0.4081400795798117,2,30,0.06666666666666667,paper_main_reported,T,Turbo
homefix_hub,HomeFix Hub,B,30,0.674702380952381,0.8122046141688999,4,30,0.13333333333333333,paper_main_reported,F,Frontier
homefix_hub,HomeFix Hub,C,30,0.1035426731078904,0.2442931307529315,0,30,0.0,paper_main_reported,M,Mini
homefix_hub,HomeFix Hub,C,30,0.4233494363929146,0.4857317925282433,1,30,0.03333333333333333,paper_main_reported,T,Turbo
homefix_hub,HomeFix Hub,C,30,0.6075684380032206,0.7314294806019241,1,30,0.03333333333333333,paper_main_reported,F,Frontier
homefix_hub,HomeFix Hub,D,30,0.0472324723247232,0.1873100606410519,0,30,0.0,paper_main_reported,M,Mini
homefix_hub,HomeFix Hub,D,30,0.204920049200492,0.3751804150237267,0,30,0.0,paper_main_reported,T,Turbo
homefix_hub,HomeFix Hub,D,30,0.4154981549815498,0.6655057933739242,0,30,0.0,paper_main_reported,F,Frontier
